range,column,x_start,x_end,y_start,y_end
7,3,22.68230845,26.18313126,20.29022044,21.8206495
7,4,22.68064324,26.18146605,18.76012358,20.29055263
7,5,22.67897803,26.17980084,17.23002672,18.76045577
7,6,22.67731282,26.17813563,15.69992985,17.23035891
7,7,22.67564761,26.17647042,14.16983299,15.70026205
7,8,22.6739724,26.17480521,12.63973604,14.17016518
7,9,22.67230719,26.17314,11.10963918,12.64006832
7,10,22.67064198,26.17146471,9.579542314,11.10998138
7,11,22.66897677,26.1697995,8.049445451,9.579884521
7,12,22.66731156,26.16813429,6.519348589,8.049787657
7,13,22.66564635,26.16646908,4.989251726,6.519690795
7,14,22.66398114,26.16480387,3.459154864,4.989593932
7,15,22.66231593,26.16313866,1.929058002,3.45949707
7,16,22.66065072,26.16147345,0.398961139,1.929400208
8,1,26.66967915,30.17050188,23.35079027,24.88122934
8,2,26.66801394,30.16883667,21.82069341,23.35113247
8,3,26.66634873,30.16717146,20.29059654,21.82103561
8,4,26.66468344,30.16550625,18.7605097,20.29093875
8,5,26.66301823,30.16384104,17.23041283,18.76084189
8,6,26.66135302,30.16217583,15.70031597,17.23074503
8,7,26.65968781,30.16051062,14.17021911,15.70064816
8,8,26.6580226,30.15884541,12.64012224,14.1705513
8,9,26.65635739,30.1571802,11.11002538,12.64045444
8,10,26.65468218,30.15551499,9.57992843,11.11035758
8,11,26.65301697,30.15384978,8.049831567,9.580260713
8,12,26.65135176,30.15218449,6.519734704,8.050173863
8,13,26.64968655,30.15050928,4.989637841,6.520076911
8,14,26.64802134,30.14884407,3.45954098,4.989980048
8,15,26.64635613,30.14717886,1.929444118,3.459883185
8,16,26.64469092,30.14551365,0.399347255,1.929786323
9,1,30.65371935,34.15455208,23.35117638,24.88161554
9,2,30.65205414,34.15288687,21.82107952,23.35151868
9,3,30.65038893,34.15121166,20.29098266,21.82142173
9,4,30.64872372,34.14954645,18.7608858,20.29132487
9,5,30.64705843,34.14788124,17.23079895,18.761228
9,6,30.64539322,34.14621603,15.70070209,17.23113114
9,7,30.64372801,34.14455082,14.17060522,15.70103428
9,8,30.6420628,34.14288561,12.64050836,14.17093742
9,9,30.64039759,34.1412204,11.1104115,12.64084055
9,10,30.63873238,34.13955519,9.580314635,11.11074369
9,11,30.63706717,34.13788998,8.050217773,9.580646828
9,12,30.63540196,34.13622477,6.520120912,8.050549965
9,13,30.63372675,34.13455948,4.990023959,6.520463116
9,14,30.63206154,34.13289427,3.459927097,4.990366254
9,15,30.63039633,34.13122906,1.929830233,3.460269392
9,16,30.62873112,34.12955385,0.399733371,1.930172439
10,1,34.63776955,38.13859228,23.35156259,24.88200166
10,2,34.63610434,38.13692707,21.82146573,23.3519048
10,3,34.63442913,38.13526186,20.29136877,21.82180793
10,4,34.63276392,38.13359665,18.76127191,20.29171107
10,5,34.63109871,38.13193144,17.23117505,18.76161421
10,6,34.62943342,38.13025623,15.7010882,17.23151726
10,7,34.62776821,38.12859102,14.17099134,15.70142039
10,8,34.626103,38.12692581,12.64089448,14.17132353
10,9,34.62443779,38.1252606,11.11079761,12.64122667
10,10,34.62277258,38.12359539,9.580700751,11.11112981
10,11,34.62110737,38.12193018,8.050603889,9.581032945
10,12,34.61944216,38.12026497,6.520507027,8.050936081
10,13,34.61777695,38.11859975,4.990410164,6.520839219
10,14,34.61611174,38.11693447,3.460313302,4.99075237
10,15,34.61444653,38.11526926,1.930216439,3.460655507
10,16,34.61277132,38.11360405,0.400119487,1.930558645
11,1,38.62180975,42.12263248,23.35194871,24.88238777
11,2,38.62014454,42.12096727,21.82185184,23.35229091
11,3,38.61847933,42.11930206,20.29175498,21.82219405
11,4,38.61681412,42.11763685,18.76165812,20.29209719
11,5,38.61514891,42.11597164,17.23156126,18.76200033
11,6,38.6134737,42.11430643,15.7014643,17.23190346
11,7,38.61180849,42.11264122,14.17136744,15.7018066
11,8,38.6101432,42.110976,12.64128059,14.17170974
11,9,38.60847799,42.1093008,11.11118373,12.64161278
11,10,38.60681278,42.10763559,9.581086868,11.11151592
11,11,38.60514757,42.10597038,8.050990005,9.58141906
11,12,38.60348236,42.10430517,6.520893142,8.051322198
11,13,38.60181715,42.10263996,4.990796279,6.521225335
11,14,38.60015194,42.10097475,3.460699417,4.991128472
11,15,38.59848673,42.09930954,1.930602555,3.46103161
11,16,38.59682152,42.09764425,0.400505692,1.93094476
12,1,42.60584995,46.10667268,23.35233482,24.88277389
12,2,42.60418474,46.10500747,21.82223796,23.35267703
12,3,42.60251953,46.10334226,20.2921411,21.82258017
12,4,42.60085432,46.10167705,18.76204423,20.2924833
12,5,42.59918911,46.10001184,17.23194737,18.76238644
12,6,42.5975239,46.09834663,15.70185051,17.23228958
12,7,42.59585869,46.09668142,14.17175365,15.70219271
12,8,42.59419348,46.09501621,12.64165678,14.17209585
12,9,42.59251819,46.093351,11.11156985,12.64199899
12,10,42.59085298,46.09168578,9.581472982,11.11190213
12,11,42.58918777,46.09001058,8.051376121,9.581805176
12,12,42.58752256,46.08834537,6.521279258,8.051708312
12,13,42.58585735,46.08668016,4.991182396,6.521611451
12,14,42.58419214,46.08501495,3.461085533,4.991514589
12,15,42.58252693,46.08334974,1.930988671,3.461417726
12,16,42.58086172,46.08168452,0.400891808,1.931320862
13,1,46.58989015,50.09072288,23.35272094,24.8831601
13,2,46.58822494,50.08904767,21.82262408,23.35306314
13,3,46.58655973,50.08738246,20.29252721,21.82296628
13,4,46.58489452,50.08571725,18.76243035,20.29286942
13,5,46.58322931,50.08405204,17.23233349,18.76277256
13,6,46.5815641,50.08238683,15.70223663,17.23267569
13,7,46.57989889,50.08072162,14.17213976,15.70257883
13,8,46.57823368,50.07905641,12.6420429,14.17248197
13,9,46.57656847,50.0773912,11.11194604,12.64238511
13,10,46.57490318,50.07572598,9.581859189,11.11228824
13,11,46.57322797,50.07406078,8.051762237,9.582191381
13,12,46.57156276,50.07239556,6.521665374,8.052094518
13,13,46.56989755,50.07073035,4.991568511,6.521997656
13,14,46.56823234,50.06905514,3.461471648,4.991900704
13,15,46.56656713,50.06738994,1.931374787,3.461803841
13,16,46.56490192,50.06572472,0.401277924,1.931706979
14,1,50.57394035,54.07476308,23.35310714,24.88354621
14,2,50.57226514,54.07309787,21.82301019,23.35344935
14,3,50.57059993,54.07143266,20.29291333,21.82335249
14,4,50.56893472,54.06975745,18.76281647,20.29325553
14,5,50.56726951,54.06809224,17.2327196,18.76315867
14,6,50.5656043,54.06642703,15.70262274,17.23306181
14,7,50.56393909,54.06476182,14.17252588,15.70296495
14,8,50.56227388,54.06309661,12.64242902,14.17286808
14,9,50.56060867,54.0614314,11.11233215,12.64277122
14,10,50.55894346,54.05976619,9.582235292,11.11267436
14,11,50.55727825,54.05810098,8.052138429,9.582577497
14,12,50.55561296,54.05643576,6.52205158,8.052480635
14,13,50.55394775,54.05477055,4.991954717,6.522383772
14,14,50.55227254,54.05310534,3.461857765,4.99228691
14,15,50.55060733,54.05144013,1.931760902,3.462190048
14,16,50.54894212,54.04976493,0.401664039,1.932093094
15,1,54.55798055,58.05880336,23.35349326,24.88392231
15,2,54.55631534,58.05713807,21.8233964,23.35383547
15,3,54.55465013,58.05547286,20.29329953,21.8237386
15,4,54.55297492,58.05380765,18.76320258,20.29364174
15,5,54.55130971,58.05214243,17.23310572,18.76354488
15,6,54.5496445,58.05047723,15.70300886,17.23344802
15,7,54.54797929,58.04880202,14.17291199,15.70335106
15,8,54.54631408,58.04713681,12.64281513,14.1732542
15,9,54.54464887,58.04547159,11.11271827,12.64315734
15,10,54.54298366,58.04380639,9.582621407,11.11306048
15,11,54.54131845,58.04214118,8.052524545,9.582963613
15,12,54.53965324,58.04047597,6.522427683,8.05286675
15,13,54.53798795,58.03881076,4.992340833,6.522769888
15,14,54.53632274,58.03714554,3.46224397,4.992673026
15,15,54.53465753,58.03548033,1.932147108,3.462576163
15,16,54.53298232,58.03381512,0.402050155,1.932479301
16,1,58.54202075,62.04284355,23.35387938,24.88430843
16,2,58.54035554,62.04117835,21.82378251,23.35421157
16,3,58.53869033,62.03951314,20.29368565,21.82411471
16,4,58.53702512,62.03784785,18.76358879,20.29402786
16,5,58.53535991,62.03618264,17.23349193,18.76393099
16,6,58.5336947,62.03451743,15.70339506,17.23383413
16,7,58.53201949,62.03285221,14.17329811,15.70373727
16,8,58.53035428,62.03118701,12.64320125,14.17364041
16,9,58.52868907,62.0295118,11.11310439,12.64354345
16,10,58.52702386,62.02784659,9.583007523,11.11344659
16,11,58.52535865,62.02618138,8.05291066,9.583349729
16,12,58.52369344,62.02451617,6.522813798,8.053252866
16,13,58.52202823,62.02285095,4.992716934,6.523156003
16,14,58.52036302,62.02118574,3.462620073,4.993059142
16,15,58.51869773,62.01952053,1.932533224,3.462962279
16,16,58.51703252,62.01785532,0.402436361,1.932865418
17,1,62.52606095,66.02688376,23.35426549,24.88469455
17,2,62.52439574,66.02521854,21.82416863,23.35459768
17,3,62.52273053,66.02355334,20.29407177,21.82450082
17,4,62.52106532,66.02188813,18.7639749,20.29440396
17,5,62.51940011,66.02022284,17.23387804,18.76431711
17,6,62.5177349,66.01855763,15.70378118,17.23422025
17,7,62.51606969,66.01689241,14.17368432,15.70412339
17,8,62.51440448,66.0152272,12.64358745,14.17402652
17,9,62.51272927,66.01356199,11.1134905,12.64392966
17,10,62.51106406,66.01189678,9.583393638,11.1138328
17,11,62.50939885,66.01023157,8.053296777,9.583735935
17,12,62.50773364,66.00855636,6.523199914,8.053638981
17,13,62.50606843,66.00689116,4.993103051,6.52354212
17,14,62.50440322,66.00522595,3.463006189,4.993445258
17,15,62.50273801,66.00356073,1.932909326,3.463348395
17,16,62.50107272,66.00189552,0.402822477,1.933251532
18,1,66.51010115,70.01093395,23.35465161,24.88508075
18,2,66.50843594,70.00926874,21.82455474,23.35498389
18,3,66.50677073,70.00759353,20.29445788,21.82488694
18,4,66.50510552,70.00592832,18.76436102,20.29479007
18,5,66.50344031,70.00426311,17.23426416,18.76469321
18,6,66.5017751,70.00259782,15.70416729,17.23460636
18,7,66.50010989,70.00093262,14.17407043,15.7045095
18,8,66.49844468,69.9992674,12.64397357,14.17441264
18,9,66.49677947,69.99760219,11.11387671,12.64431578
18,10,66.49511426,69.99593698,9.583779844,11.11421891
18,11,66.49344905,69.99427177,8.053682982,9.584122051
18,12,66.49177384,69.99260656,6.52358603,8.054025188
18,13,66.49010863,69.99094135,4.993489167,6.523928326
18,14,66.48844342,69.98927614,3.463392305,4.993831463
18,15,66.48677821,69.98760093,1.93329544,3.46373451
18,16,66.485113,69.98593572,0.40319858,1.933637648
19,1,70.49415135,73.99497415,23.35503781,24.88546687
19,2,70.49247614,73.99330894,21.82494086,23.35537001
19,3,70.49081093,73.99164373,20.294844,21.82527314
19,4,70.48914572,73.98997852,18.76474713,20.29517628
19,5,70.48748051,73.98830331,17.23465027,18.76507933
19,6,70.4858153,73.9866381,15.70455341,17.23498246
19,7,70.48415009,73.98497289,14.17445655,15.7048856
19,8,70.48248488,73.9833076,12.64435969,14.17479875
19,9,70.48081967,73.9816424,11.11426282,12.64470189
19,10,70.47915446,73.97997718,9.584165961,11.11460503
